ParticipantID,DeadlinePresentationOrder,BlockNumber,ExperimentRoundNumber,ExperimentGambleNumber,LotteryLeft,LotteryRight,GambleChoice,GambleResponseTime,GambleSecondaryChoices,GambleSecondaryChoicesTimes,GambleDeadline,FullScreenExited,ReproducedTime,MissedDeadline,SubjectiveDifficulty,ResponseTimeSubjectiveDifficulty,ResponseTimeSubmitAnswersQuestionnaire,Counter,Age,Sex,SubjectiveDifficulty3Lev,lot_0_val,lot_0_prob,lot_0_ev,lot_1_val,lot_1_prob,lot_1_ev,dX,dP,dEV,dEV_bin,RiskyChoice,BlockRoundNumber,AbsoluteError,RiskAttitudeScore
0,Random,2,36,38,0,1,Right,2.093699999999255,,,10,0,8.459200000000186,0,4,2.1905,3.9445,0,50,Male,3,43.0,54.0,23.22,63.0,45.0,28.35,-20.0,9.0,-5.129999999999999,1,1,16,0.1540799999999814,0.4833333333333333
0,Random,1,10,40,1,0,Left,2.6246000000005587,,,10,0,8.463099999999628,0,2,3.0452999999998136,3.804900000000373,0,50,Male,1,30.0,41.0,12.3,60.0,35.0,21.0,-30.0,6.0,-8.700000000000001,1,1,10,0.1536900000000372,0.4833333333333333
0,Random,2,22,41,1,0,Right,1.7702999999998137,,,10,0,9.337900000000372,0,2,3.214100000000559,4.190200000000186,0,50,Male,1,35.0,40.0,14.0,48.0,10.0,4.800000000000001,-13.0,30.0,9.2,6,0,2,0.0662099999999627,0.4833333333333333
0,Random,2,23,45,1,0,Left,2.097,,,10,0,10.191299999999814,0,2,2.039399999999441,2.8217999999998136,0,50,Male,1,52.0,92.0,47.84,72.0,91.0,65.52,-20.0,1.0,-17.679999999999993,0,1,3,0.0191299999999813,0.4833333333333333
0,Random,3,58,49,0,1,Right,1.5919000000003725,,,10,0,9.130200000000189,0,2,2.718099999999628,3.4850999999996275,0,50,Male,1,69.0,87.0,60.03,99.0,86.0,85.14,-30.0,1.0,-25.11,0,1,18,0.0869799999999811,0.4833333333333333
0,Random,2,24,52,0,1,Left,2.958399999999441,,,10,0,10.503899999999442,0,3,3.285899999999441,4.0245,0,50,Male,2,62.0,92.0,57.04,83.0,62.0,51.46,-21.0,30.0,5.579999999999998,5,0,4,0.0503899999999442,0.4833333333333333
0,Random,1,17,53,1,0,Left,2.066299999999814,,,10,0,10.266700000000188,0,3,1.8645,2.8722999999998136,0,50,Male,2,69.0,28.0,19.32,81.0,23.0,18.630000000000003,-12.0,5.0,0.6899999999999977,4,1,17,0.0266700000000188,0.4833333333333333
0,Random,3,48,54,1,0,Left,2.3512000000001865,,,10,0,8.657900000000373,0,3,2.1835,3.3198999999994414,0,50,Male,2,47.0,37.0,17.39,77.0,23.0,17.71,-30.0,14.0,-0.3200000000000003,3,1,8,0.1342099999999627,0.4833333333333333
0,Random,2,40,8,1,0,Right,3.441399999999441,,,10,0,9.262299999999811,0,3,2.7034000000003724,3.664,0,50,Male,2,65.0,49.0,31.85,71.0,33.0,23.43,-6.0,16.0,8.419999999999998,6,0,20,0.0737700000000188,0.4833333333333333
0,Random,1,2,9,1,0,Right,3.846799999999814,,,10,0,9.1515,0,2,2.4780999999996274,3.302899999999441,0,50,Male,1,39.0,66.0,25.74,40.0,50.0,20.0,-1.0,16.0,5.740000000000002,6,0,2,0.0848499999999999,0.4833333333333333
1,Random,1,1,1,0,1,Right,4.4585,,,6,0,4.834100000143051,0,4,4.198900000095367,5.599700000047684,0,60,Male,3,18.0,44.0,7.92,40.0,39.0,15.6,-22.0,5.0,-7.6800000000000015,1,1,1,0.1943166666428248,0.35
1,Random,3,47,18,0,1,Left,2.6925,,,6,0,5.659300000190735,0,1,1.2535,1.950700000047684,0,60,Male,1,73.0,32.0,23.36,82.0,2.0,1.64,-9.0,30.0,21.72,7,0,7,0.056783333301544,0.35
1,Random,1,3,19,0,1,Left,3.9101000001430513,,,6,0,4.239900000095368,0,2,2.1354000000953675,2.896900000095368,0,60,Male,1,24.0,74.0,17.759999999999998,25.0,64.0,16.0,-1.0,10.0,1.759999999999998,5,0,3,0.2933499999841054,0.35
1,Random,3,56,24,1,0,Right,5.381200000047683,,,6,0,3.729900000095368,0,2,0.783,1.4407000000476835,0,60,Male,1,7.0,96.0,6.72,37.0,66.0,24.42,-30.0,30.0,-17.700000000000003,0,0,16,0.3783499999841053,0.35
1,Random,2,30,25,0,1,Left,3.2265,,,6,0,6.0425,0,1,0.9593999998569488,1.6723999998569488,0,60,Male,1,52.0,96.0,49.92,55.0,83.0,45.65,-3.0,13.0,4.270000000000003,5,0,10,0.0070833333333334,0.35
1,Random,3,59,28,0,1,Left,4.807599999904633,,,6,0,2.915100000143051,0,3,1.0780999999046326,1.8636999998092647,0,60,Male,2,11.0,72.0,7.92,33.0,45.0,14.85,-22.0,27.0,-6.93,1,0,19,0.5141499999761582,0.35
1,Random,1,2,3,0,1,Left,3.5289000000953674,,,6,0,5.828700000047684,0,3,2.2217999999523164,3.047,0,60,Male,2,76.0,72.0,54.72,99.0,48.0,47.52,-23.0,24.0,7.200000000000003,6,0,2,0.0285499999920526,0.35
1,Random,1,5,34,0,1,Left,3.829399999856949,,,6,0,4.2245,0,3,1.650899999856949,2.581,0,60,Male,2,27.0,60.0,16.2,36.0,41.0,14.76,-9.0,19.0,1.4399999999999995,4,0,5,0.2959166666666666,0.35
1,Random,2,28,35,1,0,Right,3.458600000143051,,,6,0,4.063099999904632,0,3,1.4952000000476835,2.1685,0,60,Male,2,36.0,37.0,13.32,51.0,10.0,5.1000000000000005,-15.0,27.0,8.219999999999999,6,0,8,0.3228166666825613,0.35
