ParticipantID,BlockNumber,SubjectiveBlockTotalTime,ResponseTimeSubjectiveBlockTotalTime,ResponseTimeFirstAttemptSubjectiveBlockTotalTime,AttemptsAnswerSubjectiveBlockTotalTime,ConfidenceSubjectiveBlockTotalTime,ResponseTimeConfidenceSubjectiveBlockTotalTime,LevelBoredom,ResponseTimeLevelBoredom,TotalObjectiveBlockTime
41,2,8,3.7663999999999063,3.7663999999999063,1.0,1,5.498099999999628,4,7.6115,382.9117999999998
41,3,8,2.8087999999998137,2.8087999999998137,1.0,1,4.4112000000001865,4,6.6575,363.5048000000003
42,2,13,12.319,12.319,1.0,3,15.697799999952316,4,19.574700000047685,450.961
42,3,10,6.278100000023842,6.278100000023842,1.0,2,9.963400000095367,3,12.346200000047684,395.8620999999046
43,1,8,16.109800000071527,,,3,19.80339999997616,4,24.156,537.2472999999524
43,2,12,4.051,4.051,1.0,3,5.520100000023842,4,7.855600000023842,534.4466000000239
43,3,10,4.314399999976158,3.0007999999523163,2.0,3,5.969299999952316,4,7.392699999928475,519.9996000000239
44,1,5,92.76810000002384,,,2,54.58919999998808,4,99.004,578.7121000000238
44,2,6,44.89260000002384,44.89260000002384,1.0,2,49.52380000001192,4,54.30810000002384,558.7246000000239
44,3,5,27.27269999998808,27.27269999998808,1.0,2,30.763,4,34.04709999996424,526.8469000000358
45,1,10,15.516,,,2,18.7785,4,21.506200000047684,314.496399999857
45,2,15,4.191299999952316,4.191299999952316,1.0,1,5.989400000095367,4,7.7727999999523165,400.5695999999047
45,3,15,4.214599999904633,4.214599999904633,1.0,2,7.444099999904632,3,9.316099999904631,531.9532000000477
46,1,7,10.99169999998808,,,3,13.763,4,20.06119999998808,381.934099999994
46,2,3,7.33240000000596,3.9005,2.0,3,11.743,4,14.71880000001192,325.83469999998806
46,3,5,3.783799999982119,3.783799999982119,1.0,4,6.8483999999761584,4,9.63429999998212,466.800900000006
47,1,14,20.248700000047684,,,3,25.07210000002384,4,28.245200000047685,395.73410000002383
47,2,9,10.31930000001192,10.31930000001192,1.0,3,12.74519999998808,4,14.592099999964235,554.8415999999643
47,3,8,4.230399999976158,4.230399999976158,1.0,3,6.311099999964237,4,7.586199999988079,480.35869999998806
48,1,6,42.135,,,2,15.48709999999404,4,17.24459999999404,570.106299999997
48,2,6,3.8825,3.8825,1.0,1,5.3863000000119206,3,6.5098000000119205,350.08160000000896
48,3,8,2.719199999988079,2.719199999988079,1.0,1,4.843199999988079,2,6.0465,441.86569999998807
49,1,4,31.79819999998808,,,3,22.96569999998808,3,36.85190000000596,500.92040000000594
49,2,3,4.268,4.268,1.0,4,6.30659999999404,3,10.482399999976158,401.105
49,3,3,9.96119999998808,9.96119999998808,1.0,4,12.18159999999404,3,14.90509999999404,350.7033000000119
50,1,8,8.691099999427795,,,3,10.9215,4,13.07329999923706,496.4483999996185
50,2,6,6.572,6.572,1.0,4,8.8575,3,11.34689999961853,434.1515
50,3,5,6.01489999961853,6.01489999961853,1.0,4,8.008300000190735,4,10.919800000190737,349.767
